,R22_S34,R35_S69,R34_S99,R26_S38,R31_S42,R28_S37,R27_S43,R24_S40,R21_S76,R40_S61,R36_S84,R38_S25,R33_S57,R37_S78,R29_S51,R25_S44,R32_S26,R30_S50,R23_S59,R39_S64
MEG_981|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
MEG_6040|Drugs|betalactams|Class_D_betalactamases|R39,2,0,4,0,2,0,4,0,2,2,8,0,2,2,0,0,0,0,2,2
MEG_1574|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
MEG_6875|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,0,0,0,0,0,2,0,20,0,0,1,2,0,2,2,0,0,0
MEG_4607|Drugs|betalactams|Class_D_betalactamases|OXA,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
MEG_3800|Drugs|betalactams|Penicillin_binding_protein|MECC,0,0,2,0,0,2,0,0,4,0,0,0,0,6,0,0,2,0,0,0
MEG_352|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
MEG_3641|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|LSA,2,0,2,2,4,0,5,2,5,0,6,8,1,2,0,0,0,0,5,0
MEG_5315|Drugs|betalactams|Class_A_betalactamases|OXY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MEG_2798|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,0,0,4,0,0,0,0,0,8,0,2,0,0,2,0,0,0,2,0,0
MEG_6138|Drugs|Glycopeptides|Vancomycin-resistant_mutation|RPOC|RequiresSNPConfirmation,82,32,209,38,29,40,47,43,250,20,81,27,48,59,3,5,35,9,47,37
MEG_5851|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACL,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
MEG_1778|Drugs|Phenicol|Chloramphenicol_phosphotransferase|CMLV,2,0,2,0,0,0,2,0,0,2,2,0,0,4,0,0,2,0,0,0
MEG_4085|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MTRE,0,0,2,0,0,0,2,0,2,0,2,0,0,2,0,0,0,0,2,0
MEG_4573|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
MEG_4021|Drugs|betalactams|Class_C_betalactamases|MOX,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
MEG_2033|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|COPAM,0,2,0,0,0,0,0,2,0,4,0,0,0,6,0,0,0,0,2,0
MEG_4909|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MEG_5824|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|QACAB,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
MEG_3361|Drugs|betalactams|Class_B_betalactamases|IMP,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
MEG_1654|Drugs|betalactams|Class_C_betalactamases|CEPS,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2
MEG_3028|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSX,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
MEG_1075|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MEG_3475|Drugs|betalactams|Class_A_betalactamases|KPC,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
MEG_3335|Drugs|betalactams|Class_B_betalactamases|IMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
