,R17_S93,R8_S68,R2_S27,R6_S77,R3_S71,R12_S41,R15_S82,R4_S49,R13_S100,R20_S81,R1_S70,R14_S75,R19_S30,R11_S98,R5_S95,R10_S65,R18_S94,R16_S92,R9_S53,R7_S72
MEG_3202|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,1,2,0,3,0,0,7,0,8,12,2,4,0,11,0,0,0,5,0,0
MEG_2802|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,0,0,0,0,0,0,0,0,0,1,0,2,0,6,0,2,0,0,0,0
MEG_3676|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0
MEG_2804|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,0,0,1,0,1,0,0,0,0,8,0,0,0,0,1,0,0,3,0,0
MEG_4325|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_261|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
MEG_7858|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUB,2,2,0,5,0,0,4,2,2,2,0,0,0,0,0,3,0,0,0,0
MEG_2893|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FECD,0,0,1,2,0,0,2,0,2,1,0,0,0,0,0,0,2,1,0,0
MEG_1158|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,2,0,0,0
MEG_4249|Drugs|betalactams|Class_A_betalactamases|OKP,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
MEG_1212|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR1,4,0,4,4,4,0,4,0,0,10,0,20,2,0,4,4,6,10,0,2
MEG_75|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,4,0,0
MEG_7243|Drugs|Tetracyclines|Tetracycline_inactivation_enzymes|TETX,8,0,9,0,0,0,3,26,0,210,0,0,0,24,18,6,0,4,1,3
MEG_2731|Drugs|Multi-drug_resistance|Multi-drug_SMR_efflux_regulator|EMRE,0,0,0,2,0,0,0,0,0,4,2,10,0,8,2,0,0,0,0,4
MEG_7316|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,16,62,20,55,2,3,40,17,39,342,25,19,3,369,69,23,40,73,4,33
MEG_919|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,2,10,0,0,0,0,13,1,291,0,0,0,37,0,0,2,0,0,0
MEG_2495|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0,0,0,0,0,0,0,0,0,8,0,0,0,2,1,0,0,0,0,0
MEG_4225|Drugs|betalactams|Class_C_betalactamases|OCH,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,2,0,0
MEG_1430|Drugs|betalactams|Class_A_betalactamases|BLAZ,2,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
